,TEST_CNT,CENTER_NM,AGE_GBN,TEST_GBN,TEST_AGE,INPUT_GBN,CERT_GBN,TEST_YMD,PRES_NOTE,TEST_SEX,kind_age
6417,2,동구(인천),성인,출장,40,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6418,3,동구(인천),성인,출장,44,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6422,2,동구(인천),성인,출장,43,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6427,2,동구(인천),성인,출장,49,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6435,2,동구(인천),성인,출장,47,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6440,1,KSPO대구,성인,일반,49,관리자,3등급,20211012,"본운동:실내 자전거타기,트레드밀에서 걷기",M,40대
6510,2,광주,성인,일반,40,관리자,3등급,20211006,"준비운동:실내 자전거타기,트레드밀에서 걷기,줄넘기,계단 올라갔다 내려오기 / 본운동:머신이용 근력운동 루틴프로그램,바벨 잡고 들어올리기,버피 테스트 / 마무리운동:골반 스트레칭2,폼롤러 이용 유연성운동 루틴 프로그램,의자이용 유연성운동 루틴 프로그램,엉덩이 스트레칭,전신 루틴 스트레칭",F,40대
6540,1,창원,성인,일반,41,관리자,3등급,20211008,"준비운동:정적 스트레칭  루틴프로그램 / 본운동:밴드 잡고 몸통 옆으로 굽히기,서서 상체 일으키기,몸통 들어올리기,윗몸올리기 ,네발기기 자세로 팔 다리 들기,엎드려서 팔 다리 들기,누워 무릎 기울기,엎드려 팔다리 교차올리기,크런치 사이클,엎드려 버티기,누워서 팔 다리 동시에 들어올리기",M,40대
6547,2,동구(인천),성인,출장,41,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6553,1,동구(인천),성인,출장,42,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
6698,1,동구(인천),성인,출장,41,관리자,3등급,20211005,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
6717,4,동작,성인,일반,49,관리자,3등급,20211006,"준비운동:달리기,계단 올라갔다 내려오기,앉아서 당겨 내리기,앉아서 위로 밀기,바벨들어올리기,앉았다 일어서기,실내 자전거타기",F,40대
6841,1,서구(대전),성인,일반,41,관리자,3등급,20211007,"준비운동:유산소 운동 전 동적 루틴 스트레칭 / 본운동:윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,서서 상체 일으키기,앉아서 밀기,앉아서 당겨 내리기,앉아서 다리 밀기,앉아서 다리 펴기,실내 자전거타기,트레드밀에서 걷기 / 마무리운동:전신 루틴 스트레칭",M,40대
6859,4,달서,성인,일반,41,인바디,3등급,20211007,"준비운동:팔굽혀 펴기,뒤꿈치 들기,누워 다리 들어올리기,윗몸 말아 올리기,의자 앞에서 앉았다 일어서기,누워서 엉덩이 들어올리기,덤벨 잡고 뒤꿈치 들기,전완대고 버티기,플렉스 바 비틀기 / 본운동:달리기,줄넘기,계단 뛰어 오르기,자전거타기,스텝박스 오르내리기",M,40대
7045,3,시흥,성인,일반,47,관리자,3등급,20211006,"준비운동:허리 스트레칭,몸통 들어올리기,엎드려 버티기,네발기기 자세로 팔 다리 들기,옆으로 누워 다리 들어올리기,옆으로 팔 대고 버티기,수영,전신 루틴 스트레칭",F,40대
7064,1,KSPO광주(출장),성인,출장,45,관리자,3등급,20211001,"준비운동:걷기,동적 스트레칭 루틴프로그램 / 본운동:맨몸운동  루틴프로그램,웨이트 트레이닝  루틴프로그램,요가 및 필라테스  루틴프로그램,달리기 / 마무리운동:정적 스트레칭  루틴프로그램,걷기",M,40대
7162,1,달서,성인,일반,41,인바디,3등급,20211012,"준비운동:걷기,조깅 / 본운동:달리기,실내 자전거타기,수영 / 마무리운동:걷기,조깅,등/어깨 뒤쪽 스트레칭,아래 팔 스트레칭,엉덩이 스트레칭,엉덩이 스트레칭2,넙다리 앞쪽 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭,대퇴사두근 스트레칭,양발 교차하여 서서 몸통 숙이기",F,40대
7283,1,남구(울산),성인,일반,47,관리자,3등급,20211005,"준비운동:목 스트레칭,등/어깨 뒤쪽 스트레칭,아래 팔 스트레칭,옆으로 누워 가슴 열기 / 본운동:머신이용 근력운동 루틴프로그램,팔굽혀 펴기,누워 다리 들어올리기,서서 상체 일으키기,윗몸올리기 ,엎드려 버티기,누워서 공들고 몸 기울이기",F,40대
7408,2,진천,성인,출장,45,관리자,3등급,20211005,"준비운동:스텝퍼 뛰어서 넘어가기,스텝퍼 옆으로 뛰어넘기,스텝퍼 올라가서 점프하여 착지하기,앉았다 일어서면서 점프하기,무릎 높여 제자리 달리기,팔 벌려 뛰기,바운딩 운동  루틴프로그램,버피운동,양발 모아 좌우 뛰기,한발 연속 뛰기",F,40대
7986,1,KSPO광주(출장),성인,출장,48,관리자,3등급,20211003,"준비운동:걷기,동적 스트레칭 루틴프로그램 / 본운동:맨몸운동  루틴프로그램,웨이트 트레이닝  루틴프로그램,요가 및 필라테스  루틴프로그램,달리기 / 마무리운동:정적 스트레칭  루틴프로그램,걷기",F,40대
8047,2,동구(인천),성인,출장,44,관리자,3등급,20211006,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",M,40대
8071,2,동구(인천),성인,출장,49,관리자,3등급,20211006,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",M,40대
8194,2,KSPO송파,성인,일반,46,,3등급,20211030,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,엉덩이 스트레칭,허리 스트레칭,배스트레칭,가슴/어깨 앞쪽 스트레칭,등/어깨 뒤쪽 스트레칭,목 스트레칭 / 마무리운동:전신 루틴 스트레칭",M,40대
8211,1,KSPO대구,성인,일반,40,,3등급,20211020,"준비운동:윗몸 일으키기,크런치 사이클,상체 감아올리기,윗몸말아올리기,윗몸올리기",M,40대
8307,1,동구(부산),성인,일반,43,,3등급,20211016,"준비운동:좌식생활자를 위한 동적 루틴 스트레칭  / 본운동:허리 굽혀 덤벨 뒤로 들기,뒤꿈치 들기,바벨들어올리기,누워 다리 들어올리기,한발 앞으로 내밀고 앉았다 일어서기,허리 굽혀 덤벨 들기,매달려서 다리 들기,손목 펴기/굽히기,윗몸 말아 올리기,엎드려 버티기,누워서 하늘 자전거,누워서 엉덩이 들어올리기,제자리 뛰기 / 마무리운동:상체 앞으로 숙이기,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭,하지 루틴 스트레칭2,다리 벌려 앞으로 상체 숙이기,다리 모아 상체 숙이기,정적 스트레칭  루틴프로그램",M,40대
8320,1,KSPO대구,성인,일반,46,,3등급,20211015,"본운동:요가 및 필라테스  루틴프로그램,정적 스트레칭  루틴프로그램,하지 루틴 스트레칭1,전신 루틴 스트레칭",F,40대
8339,2,강북,성인,일반,47,,3등급,20211015,"준비운동:유산소 운동 전 동적 루틴 스트레칭,팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,하지 루틴 스트레칭2",M,40대
8382,1,KSPO대구,성인,일반,47,,3등급,20211025,"본운동:엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,자가근막이완술 루틴 스트레칭",F,40대
8384,2,강북,성인,일반,49,,3등급,20211025,"준비운동:팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기,하지 루틴 스트레칭2",F,40대
8400,2,KSPO송파,성인,일반,42,,3등급,20211028,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:넙다리 뒤쪽 스트레칭,넙다리 앞쪽 스트레칭,넙다리 안쪽 스트레칭,엉덩이 스트레칭,허리 스트레칭,배스트레칭,가슴/어깨 앞쪽 스트레칭,등/어깨 뒤쪽 스트레칭,목 스트레칭 / 마무리운동:전신 루틴 스트레칭",M,40대
8405,3,KSPO대구,성인,일반,41,,3등급,20211020,"준비운동:목 스트레칭,허리 스트레칭,전신 루틴 스트레칭,좌식생활자를 위한 동적 루틴 스트레칭  / 본운동:의자 앞에서 앉았다 일어서기,네발기기 자세로 팔 다리 들기,네발기기 자세에서 손바닥으로 바닥밀기,네발기기 자세에서 다리 위로 뻗어올리기,물병 옆으로 들어올리기,서서 다리 뒤로 차기,윗몸올리기 ,엎드려 버티기,누워서 공들고 몸 기울이기 / 마무리운동:정적 스트레칭  루틴프로그램,허리 스트레칭",M,40대
8425,1,강북,성인,일반,42,,3등급,20211025,"준비운동:팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기",M,40대
8434,1,KSPO송파,성인,일반,46,,3등급,20211021,"준비운동:자가근막이완술 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,윗몸올리기 ,누워서 다리 들어올리기,엎드려서 팔 다리 들기,팔굽혀펴기 / 마무리운동:전신 루틴 스트레칭",F,40대
8449,2,KSPO대구,성인,일반,47,,3등급,20211016,"준비운동:팔벌려뛰기,앉았다 일어서기,스텝퍼 뛰어서 오르내리기,팔굽혀펴기,무릎 높여 제자리 달리기,한발 앞으로 내밀고 앉았다 일어서기,스텝퍼 옆으로 뛰어넘기,물병 옆으로 들어올리기",M,40대
8485,1,KSPO대구,성인,일반,46,,3등급,20211025,"준비운동:자가근막이완술 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭,저항밴드 운동  루틴프로그램,골다공증을 위한 심폐지구력 운동,전신 루틴 스트레칭",M,40대
8495,1,익산,성인,일반,42,,3등급,20211029,"준비운동:트레드밀에서 걷기,정적 스트레칭  루틴프로그램 / 본운동:앉았다 일어서기,바벨들어올리기,누워서 가슴 밀기,앉아서 몸통 움츠리기 / 마무리운동:실내 자전거타기,정적 스트레칭  루틴프로그램",M,40대
8502,2,연제,성인,일반,46,,3등급,20211016,"준비운동:전신 루틴 스트레칭 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,앉아서 당겨 내리기,팔굽혀펴기,윗몸올리기 ,달리기 / 마무리운동:상지 루틴 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2",F,40대
8535,1,KSPO대구,성인,일반,42,,3등급,20211019,"본운동:팔다리 교차 버티기,소파를 이용한 윗몸올리기,앉아서 밴드 잡고 몸통 돌리기,밴드 잡고 몸통 옆으로 굽히기",M,40대
8568,1,KSPO대구,성인,일반,47,,3등급,20211025,"본운동:배스트레칭,옆구리 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",M,40대
8593,1,KSPO송파,성인,일반,49,,3등급,20211027,"준비운동:자가근막이완술 루틴 스트레칭,유산소 운동 전 동적 루틴 스트레칭 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,윗몸올리기 ,누워서 다리 들어올리기,엎드려서 팔 다리 들기,팔굽혀펴기 / 마무리운동:전신 루틴 스트레칭",M,40대
8626,1,KSPO대구,성인,일반,41,,3등급,20211026,"준비운동:고양이 자세,무릎 굽혀 가슴 닿기,다리 벌려 앞으로 상체 숙이기,다리 벌려 옆으로 상체 숙이기,다리 꼬아 상체 앞으로 숙이기,앉아서 한 발 앞으로 굽히기,한 발 뒤로 빼고 앞으로 굽히기,한 발 앞굽이 팔 위로 뻗어 가슴 내밀기",M,40대
8639,1,KSPO대구,성인,일반,40,,3등급,20211026,"본운동:사다리 안팎 뛰기,사다리 옆으로 발 옮기기,스텝퍼 뛰어서 오르내리기,스텝퍼 옆으로 뛰어넘기",F,40대
8653,4,연제,성인,일반,40,,3등급,20211002,"준비운동:유산소 운동 전 동적 루틴 스트레칭,트레드밀에서 걷기 / 본운동:달리기,계단 뛰어 오르기,스텝퍼 뛰어서 오르내리기,스텝퍼 옆으로 뛰어넘기,버피운동 / 마무리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,자가근막이완술 루틴 스트레칭",M,40대
8679,1,KSPO대구,성인,일반,43,,3등급,20211002,"준비운동:요가 및 필라테스  루틴프로그램,정적 스트레칭  루틴프로그램,전신 루틴 스트레칭,동적 스트레칭 루틴프로그램",M,40대
8702,1,강북,성인,일반,44,,3등급,20211026,"준비운동:유산소 운동 전 동적 루틴 스트레칭,하지 루틴 스트레칭2,넙다리 뒤쪽 스트레칭,엉덩이 스트레칭,허리 스트레칭",M,40대
8745,3,서대문,성인,일반,48,,3등급,20211029,"본운동:앉아서 다리 밀기,앉아서 다리 펴기,앉아서 다리 굽히기,바벨들어올리기,원판던지기,앉았다 일어서기,윗몸올리기 ,짐볼 윗몸올리기,소파를 이용한 윗몸올리기,엎드려 버티기,옆으로 누워 버티기,네발기기 자세로 팔 다리 들기",M,40대
8763,1,연제,성인,일반,44,,3등급,20211006,"준비운동:전신 루틴 스트레칭 / 본운동:앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,앉아서 당겨 내리기,팔굽혀펴기,윗몸올리기 ,달리기 / 마무리운동:상지 루틴 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2",M,40대
8768,1,연제,성인,일반,44,,3등급,20211007,"준비운동:유산소 운동 전 동적 루틴 스트레칭,트레드밀에서 걷기 / 본운동:달리기,계단 뛰어 오르기,스텝퍼 뛰어서 오르내리기,스텝퍼 옆으로 뛰어넘기,버피운동 / 마무리운동:하지 루틴 스트레칭1,하지 루틴 스트레칭2,상지 루틴 스트레칭,자가근막이완술 루틴 스트레칭",F,40대
8788,1,익산,성인,일반,42,,3등급,20211025,"준비운동:트레드밀에서 걷기,정적 스트레칭  루틴프로그램 / 본운동:앉았다 일어서기,바벨들어올리기,누워서 가슴 밀기,앉아서 몸통 움츠리기 / 마무리운동:실내 자전거타기,정적 스트레칭  루틴프로그램",M,40대
8815,1,KSPO아산,성인,일반,45,,3등급,20211019,"준비운동:목 스트레칭,가슴/어깨 앞쪽 스트레칭,허리 스트레칭,넙다리 앞쪽 스트레칭,하지 루틴 스트레칭1,상지 루틴 스트레칭 / 본운동:앉아서 다리 밀기,앉아서 다리 펴기,앉아서 다리 굽히기,앉아서 밀기,앉았다 일어서기,누워서 덤벨 모아들기,누워서 배가로근 수축 II,원판던지기,한발 앞으로 내밀고 앉았다 일어서기,사다리 옆으로 발 옮기기,계단 두발 뛰기 / 마무리운동:가슴/어깨 앞쪽 스트레칭,아래 팔 스트레칭,배스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭,하지 루틴 스트레칭2",F,40대
8816,1,수원,성인,일반,40,,3등급,20211019,"준비운동:전신 루틴 스트레칭,넙다리 뒤쪽 스트레칭,하지 루틴 스트레칭1,하지 루틴 스트레칭2",F,40대
8958,1,강북,성인,일반,40,,3등급,20211014,"준비운동:유산소 운동 전 동적 루틴 스트레칭,하지 루틴 스트레칭2,서서 상체 일으키기,팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기",F,40대
9001,2,양평,성인,일반,43,,3등급,20211012,"준비운동:앉아서 밴드 잡고 몸통 돌리기,밴드 잡고 몸통 옆으로 굽히기,밴드 걸고 엎드려서 다리 구부리기,밴드 걸고 누워서 다리 들어올리기,밴드 걸고 앉아서 발등 굽힘,밴드 걸고 옆으로 누워 다리 올리기,밴드 잡고 누워서 다리 밀기 / 본운동:버피운동",F,40대
9002,1,KSPO송파,성인,일반,47,,3등급,20211012,"준비운동:넙다리 뒤쪽 스트레칭,허리 스트레칭,배스트레칭,하지 루틴 스트레칭2,엉덩이 스트레칭",F,40대
9026,3,KSPO송파,성인,일반,47,,3등급,20211014,"준비운동:넙다리 뒤쪽 스트레칭,허리 스트레칭,배스트레칭,하지 루틴 스트레칭2,엉덩이 스트레칭",M,40대
9066,2,양평,성인,일반,46,,3등급,20211007,"본운동:달리기,실내 자전거타기",F,40대
9073,3,강북,성인,일반,48,,3등급,20211013,"준비운동:팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기",F,40대
9167,1,KSPO아산,성인,일반,42,,3등급,20211006,"준비운동:목 스트레칭,상지 루틴 스트레칭,배스트레칭,엉덩이 스트레칭,넙다리 안쪽 스트레칭,하지 루틴 스트레칭2 / 본운동:누워서 수직으로 다리 들어올리기 ,누워서 엉덩이 들어올리기,네발기기 자세로 팔 다리 들기,엎드려서 팔 다리 들기,누워서 배가로근 수축 I,누워서 배가로근 수축 II,엎드려서 균형잡기,윗몸 말아 올리기,엎드려서 다리 차올리기 / 마무리운동:트레드밀에서 걷기,수영,물속에서 걷기",F,40대
9224,2,동구(부산),성인,일반,40,,3등급,20211005,"준비운동:유산소 운동 전 동적 루틴 스트레칭,조깅 / 본운동:저항밴드 운동  루틴프로그램,몸통 들어올리기,바벨 잡고 들어올리기,팔굽혀펴기,엎드려 버티기,소파를 이용한 윗몸올리기,팔다리 교차 버티기,앉았다 일어서기,턱걸이,계단 올라갔다 내려오기 / 마무리운동:전신 루틴 스트레칭,하지 루틴 스트레칭1,상지 루틴 스트레칭",M,40대
9246,2,KSPO대구,성인,일반,45,,3등급,20211022,"준비운동:요통을 위한 스트레칭1,요통을 위한 스트레칭2 / 본운동:팔다리 교차 버티기,소파를 이용한 윗몸올리기,앉아서 밴드 잡고 몸통 돌리기,밴드 잡고 몸통 옆으로 굽히기 / 마무리운동:허리 스트레칭,엉덩이 스트레칭,자가근막이완술 루틴 스트레칭",M,40대
9275,3,스포원(금정),성인,일반,49,인바디,3등급,20211016,"준비운동:허리 스트레칭,배스트레칭,옆구리 스트레칭,엉덩이 스트레칭,넙다리 뒤쪽 스트레칭,넙다리 안쪽 스트레칭",M,40대
9361,1,광산,성인,일반,45,관리자,3등급,20211013,"본운동:손목 펴기/굽히기,바벨 끌어당기기,턱걸이,윗몸올리기 ,엎드려 버티기,크런치 사이클,하지 루틴 스트레칭1,하지 루틴 스트레칭2,자가근막이완술 루틴 스트레칭",M,40대
9365,3,강북,성인,일반,41,,3등급,20211013,"준비운동:팔꿈치 굽히기,팔굽혀펴기,뒤로 팔굽혀펴기,윗몸올리기 ,누워서 엉덩이 들어올리기,엎드려 버티기,앉았다 일어서기",F,40대
9673,1,동구(인천),성인,출장,48,관리자,3등급,20211014,"준비운동:목 스트레칭,팔굽혀 펴기,걷기,회전근개 스트레칭,턱걸이",F,40대
9675,1,동구(인천),성인,출장,40,관리자,3등급,20211014,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",M,40대
9761,5,KSPO대구,성인,일반,41,,3등급,20211022,"본운동:실외 자전거타기,실내 자전거타기,트레드밀에서 걷기,수영",M,40대
9793,2,동구(인천),성인,출장,46,관리자,3등급,20211012,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",M,40대
9796,2,동구(인천),성인,출장,42,관리자,3등급,20211012,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",M,40대
9838,1,경산,성인,출장,45,관리자,3등급,20211017,"본운동:네발기기 자세로 팔 다리 들기,서서 다리 뒤로 차기,팔굽혀펴기,누워서 엉덩이 들어올리기,엎드려서 팔 다리 들기,누워서 팔 다리 동시에 들어올리기,엎드려 버티기,옆으로 누워 버티기,누워서 다리 들어올리기",M,40대
9907,1,동구(인천),성인,출장,43,관리자,3등급,20211015,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",F,40대
9920,2,동구(인천),성인,출장,47,관리자,3등급,20211019,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
9939,1,서초,성인,일반,40,관리자,3등급,20211029,"본운동:손목 펴기/굽히기,뒤로 팔굽혀펴기,앉아서 팔꿈치 굽히기,앉았다 일어서기,한발 앞으로 내밀고 앉았다 일어서기,앉아서 무릎 굽히기 / 마무리운동:정적 스트레칭  루틴프로그램",M,40대
9970,2,동구(인천),성인,출장,41,관리자,3등급,20211018,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
10021,2,동구(인천),성인,출장,42,관리자,3등급,20211018,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
10024,2,동구(인천),성인,출장,41,관리자,3등급,20211019,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",F,40대
10076,1,스포원(금정),성인,일반,41,인바디,3등급,20211006,"본운동:소파를 이용한 윗몸올리기,팔굽혀펴기,네발기기 자세로 팔 다리 들기,누워서 엉덩이 들어올리기",M,40대
10105,1,동구(인천),성인,출장,41,관리자,3등급,20211019,"준비운동:동적 스트레칭 루틴프로그램 / 본운동:조깅,자전거타기 / 마무리운동:정적 스트레칭  루틴프로그램",F,40대
10194,2,강북,성인,출장,40,관리자,3등급,20211019,"준비운동:무릎 높여 제자리 달리기,앉았다 일어서기,서서 뒤꿈치 들기,한발 앞으로 내밀고 앉았다 일어서기,앉았다 일어서면서 점프하기,버피운동",F,40대
10395,2,동구(인천),성인,출장,43,관리자,3등급,20211006,"준비운동:계단 올라갔다 내려오기 / 본운동:계단 올라갔다 내려오기,스텝퍼 오르내리기,뒤꿈치 들기 / 마무리운동:계단 올라갔다 내려오기",M,40대
10437,2,동구(인천),성인,출장,48,관리자,3등급,20211007,"준비운동:자가근막이완술 루틴 스트레칭 / 본운동:한발 앞으로 내밀고 앉았다 일어서기,바벨 끌어당기기 / 마무리운동:전신 루틴 스트레칭",M,40대
10607,2,남구(울산),성인,일반,49,관리자,3등급,20211030,"준비운동:앉았다 일어서기,서서 뒤꿈치 들기,턱걸이,뒤로 팔굽혀펴기,바벨들어올리기,윗몸올리기 ,달리기,줄넘기,사다리 안팎 뛰기,버피운동,전신 루틴 스트레칭,자가근막이완술 루틴 스트레칭,메디신 볼 잡고 런지하며 상체비틀기",M,40대
10823,2,의정부,성인,일반,47,관리자,3등급,20211021,"준비운동:하지 루틴 스트레칭2,전신 루틴 스트레칭,맨몸운동  루틴프로그램,정적 스트레칭  루틴프로그램,스텝박스 오르내리기 ,달리기",F,40대
