,Unnamed: 0,name,site_link,운동대상,체력항목,운동형태,운동부위,시설 필요유무
0,0,저항밴드 운동 루틴프로그램,/entry.naver?docId=3535305&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,전신/가슴/상체/하체,Y
1,1,웨이트 트레이닝 루틴프로그램,/entry.naver?docId=3535306&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,전신/가슴/상체/하체,Y
2,2,맨몸운동 루틴프로그램,/entry.naver?docId=3535307&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,전신/가슴/상체/하체,N
3,3,앉았다 일어서며 팔 들어올리기,/entry.naver?docId=3535308&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/허벅지앞쪽,Y
4,4,런지하며 상체 비틀기,/entry.naver?docId=3535309&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/허벅지앞쪽,Y
5,5,팔 들어 올리며 런지,/entry.naver?docId=3535310&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨뒤쪽/어깨측면/허벅지앞쪽,Y
6,6,한 발 뒤로 들어올리기,/entry.naver?docId=3535311&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/둔부/허벅지뒤쪽,Y
7,7,다리 감아올리기,/entry.naver?docId=3535312&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
8,8,상체 감아올리기,/entry.naver?docId=3535313&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
9,9,발에 밴드걸고 윗몸일으키기,/entry.naver?docId=3535314&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
10,10,옆으로 굽히기,/entry.naver?docId=3535315&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,등/몸통,Y
11,11,한 발 끌어당기기,/entry.naver?docId=3535316&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지내측,Y
12,12,한 발 들어올리기,/entry.naver?docId=3535317&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지외측,Y
13,13,앉아서 무릎 굽히기,/entry.naver?docId=3535318&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지뒤쪽,Y
14,14,앉아서 다리 올리기,/entry.naver?docId=3535319&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지앞쪽,Y
15,15,뒤로 팔 뻗기,/entry.naver?docId=3535320&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨뒤쪽,Y
16,16,양팔 크게 벌리기,/entry.naver?docId=3535321&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/등,Y
17,17,팔꿈치 고정 후 벌리기,/entry.naver?docId=3535322&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/위팔앞쪽,Y
18,18,앉았다 일어서기,/entry.naver?docId=3535323&categoryId=58501&cid=58501,청소년,근력/근지구력,프리웨이트,복부/허리/허벅지앞쪽,Y
19,19,앉아서 몸통 움츠리기,/entry.naver?docId=3535324&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,복부,Y
20,20,몸통 옆으로 굽히기,/entry.naver?docId=3535325&categoryId=58501&cid=58501,청소년,근력/근지구력,프리웨이트,몸통,Y
21,21,앉아서 다리 펴기,/entry.naver?docId=3535326&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,허벅지앞쪽,Y
22,22,누워서 다리 굽히기,/entry.naver?docId=3535327&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,허벅지뒤쪽,Y
23,23,다리 넓게 벌려 앉았다 일어서기,/entry.naver?docId=3535328&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허벅지내측,N
24,24,앉아서 당겨 내리기,/entry.naver?docId=3535329&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,어깨측면/등,Y
25,25,앉아서 양팔 당기기,/entry.naver?docId=3535330&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,등,Y
26,26,앉아서 가슴 모으기,/entry.naver?docId=3535331&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,위팔앞쪽/가슴,Y
27,27,누워서 팔 밀기,/entry.naver?docId=3535332&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,어깨측면/가슴,Y
28,28,크런치 사이클,/entry.naver?docId=3535333&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통/허벅지앞쪽,N
29,29,버피 테스트,/entry.naver?docId=3535334&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/복부/허벅지앞쪽,N
30,30,발 바꿔 뛰기,/entry.naver?docId=3535335&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/복부/허벅지앞쪽,N
31,31,몸통 들어올리기,/entry.naver?docId=3535336&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/둔부/허벅지뒤쪽,N
32,32,팔다리 교차 버티기,/entry.naver?docId=3535337&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/허리/둔부,N
33,33,엎드려 팔다리 교차올리기,/entry.naver?docId=3535338&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/둔부,N
34,34,연속 사이드 스쿼트,/entry.naver?docId=3535339&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/허벅지앞쪽,N
35,35,앞굽이 앉았다 일어서기,/entry.naver?docId=3535340&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,둔부/허벅지앞쪽,N
36,36,앉았다 일어서기,/entry.naver?docId=3535341&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/허벅지앞쪽,N
37,37,다리 뻗어 올리기,/entry.naver?docId=3535342&categoryId=58501&cid=58501,청소년,근력/근지구력,벤치,허벅지앞쪽,Y
38,38,누워 무릎 기울기,/entry.naver?docId=3535343&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통,N
39,39,손 뻗어 윗몸 일으키기,/entry.naver?docId=3535344&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통,N
40,40,윗몸 일으키기,/entry.naver?docId=3535345&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부,N
41,41,전완대고 버티기,/entry.naver?docId=3535346&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨앞쪽/복부/허리,N
42,42,V자 싸이클,/entry.naver?docId=3535347&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부,N
43,43,의자에 앉아 물병 들고 몸통 돌리기,/entry.naver?docId=3535348&categoryId=58501&cid=58501,청소년,근력/근지구력,물병,복부,Y
44,44,누워 다리 들어올리기,/entry.naver?docId=3535349&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/허리,N
45,45,바로서서 상체 숙이기,/entry.naver?docId=3535350&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리,N
46,46,뒤로 팔굽혀펴기,/entry.naver?docId=3535351&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸/벤치,어깨측면/위팔뒤쪽,Y
47,47,팔굽혀 펴기,/entry.naver?docId=3535352&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,위팔뒤쪽/가슴/어깨측면,N
