name,site_link,운동대상,체력항목,운동형태,운동부위,시설 필요유무
웨이트 트레이닝 루틴프로그램,/entry.naver?docId=3535306&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,전신/가슴/상체/하체,Y
맨몸운동 루틴프로그램,/entry.naver?docId=3535307&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,전신/가슴/상체/하체,N
앉았다 일어서며 팔 들어올리기,/entry.naver?docId=3535308&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/허벅지앞쪽,Y
런지하며 상체 비틀기,/entry.naver?docId=3535309&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/허벅지앞쪽,Y
팔 들어 올리며 런지,/entry.naver?docId=3535310&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨뒤쪽/어깨측면/허벅지앞쪽,Y
한 발 뒤로 들어올리기,/entry.naver?docId=3535311&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/둔부/허벅지뒤쪽,Y
다리 감아올리기,/entry.naver?docId=3535312&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
상체 감아올리기,/entry.naver?docId=3535313&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
발에 밴드걸고 윗몸일으키기,/entry.naver?docId=3535314&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,복부,Y
옆으로 굽히기,/entry.naver?docId=3535315&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,등/몸통,Y
한 발 끌어당기기,/entry.naver?docId=3535316&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지내측,Y
한 발 들어올리기,/entry.naver?docId=3535317&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지외측,Y
앉아서 무릎 굽히기,/entry.naver?docId=3535318&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지뒤쪽,Y
앉아서 다리 올리기,/entry.naver?docId=3535319&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,허벅지앞쪽,Y
뒤로 팔 뻗기,/entry.naver?docId=3535320&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨뒤쪽,Y
양팔 크게 벌리기,/entry.naver?docId=3535321&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/등,Y
팔꿈치 고정 후 벌리기,/entry.naver?docId=3535322&categoryId=58501&cid=58501,청소년,근력/근지구력,밴드,어깨측면/위팔앞쪽,Y
앉았다 일어서기,/entry.naver?docId=3535323&categoryId=58501&cid=58501,청소년,근력/근지구력,프리웨이트,복부/허리/허벅지앞쪽,Y
앉아서 몸통 움츠리기,/entry.naver?docId=3535324&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,복부,Y
몸통 옆으로 굽히기,/entry.naver?docId=3535325&categoryId=58501&cid=58501,청소년,근력/근지구력,프리웨이트,몸통,Y
앉아서 다리 펴기,/entry.naver?docId=3535326&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,허벅지앞쪽,Y
누워서 다리 굽히기,/entry.naver?docId=3535327&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,허벅지뒤쪽,Y
다리 넓게 벌려 앉았다 일어서기,/entry.naver?docId=3535328&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허벅지내측,N
앉아서 당겨 내리기,/entry.naver?docId=3535329&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,어깨측면/등,Y
앉아서 양팔 당기기,/entry.naver?docId=3535330&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,등,Y
앉아서 가슴 모으기,/entry.naver?docId=3535331&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,위팔앞쪽/가슴,Y
누워서 팔 밀기,/entry.naver?docId=3535332&categoryId=58501&cid=58501,청소년,근력/근지구력,웨이트기계,어깨측면/가슴,Y
크런치 사이클,/entry.naver?docId=3535333&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통/허벅지앞쪽,N
버피 테스트,/entry.naver?docId=3535334&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/복부/허벅지앞쪽,N
발 바꿔 뛰기,/entry.naver?docId=3535335&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/복부/허벅지앞쪽,N
몸통 들어올리기,/entry.naver?docId=3535336&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/둔부/허벅지뒤쪽,N
팔다리 교차 버티기,/entry.naver?docId=3535337&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨측면/허리/둔부,N
엎드려 팔다리 교차올리기,/entry.naver?docId=3535338&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/둔부,N
연속 사이드 스쿼트,/entry.naver?docId=3535339&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/허벅지앞쪽,N
앞굽이 앉았다 일어서기,/entry.naver?docId=3535340&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,둔부/허벅지앞쪽,N
앉았다 일어서기,/entry.naver?docId=3535341&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리/허벅지앞쪽,N
다리 뻗어 올리기,/entry.naver?docId=3535342&categoryId=58501&cid=58501,청소년,근력/근지구력,벤치,허벅지앞쪽,Y
누워 무릎 기울기,/entry.naver?docId=3535343&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통,N
손 뻗어 윗몸 일으키기,/entry.naver?docId=3535344&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/몸통,N
윗몸 일으키기,/entry.naver?docId=3535345&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부,N
전완대고 버티기,/entry.naver?docId=3535346&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,어깨앞쪽/복부/허리,N
V자 싸이클,/entry.naver?docId=3535347&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부,N
의자에 앉아 물병 들고 몸통 돌리기,/entry.naver?docId=3535348&categoryId=58501&cid=58501,청소년,근력/근지구력,물병,복부,Y
누워 다리 들어올리기,/entry.naver?docId=3535349&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,복부/허리,N
바로서서 상체 숙이기,/entry.naver?docId=3535350&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,허리,N
뒤로 팔굽혀펴기,/entry.naver?docId=3535351&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸/벤치,어깨측면/위팔뒤쪽,Y
팔굽혀 펴기,/entry.naver?docId=3535352&categoryId=58501&cid=58501,청소년,근력/근지구력,맨몸,위팔뒤쪽/가슴/어깨측면,N
수영,/entry.naver?docId=3535354&categoryId=58501&cid=58501,청소년,심폐지구력,수중운동,전신,Y
줄넘기 운동,/entry.naver?docId=3535355&categoryId=58501&cid=58501,청소년,심폐지구력,줄넘기,하체,Y
자전거타기,/entry.naver?docId=3535356&categoryId=58501&cid=58501,청소년,심폐지구력,자전거,하체,Y
조깅,/entry.naver?docId=3535357&categoryId=58501&cid=58501,청소년,심폐지구력,맨몸,전신,N
걷기,/entry.naver?docId=3535358&categoryId=58501&cid=58501,청소년,심폐지구력,맨몸,하체,N
콘운동 루틴프로그램,/entry.naver?docId=3535360&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
사다리 운동 루틴프로그램,/entry.naver?docId=3535361&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
박스 운동 루틴프로그램,/entry.naver?docId=3535362&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,전신/가슴/상체/하체,Y
바운딩 운동 루틴프로그램,/entry.naver?docId=3535363&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신/하체,N
팔굽혀펴기 후 점프하기,/entry.naver?docId=3535364&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,전신,Y
좌우 이동하며 팔굽혀펴기,/entry.naver?docId=3535365&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,상체,Y
연속 상향 점프하기,/entry.naver?docId=3535366&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
한발로 점프하기,/entry.naver?docId=3535367&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
좌우 양발모아 점프하기,/entry.naver?docId=3535368&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
연속 하향 점프하기,/entry.naver?docId=3535369&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
빠르게 앞무릎 올리기,/entry.naver?docId=3535370&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
사이드 스텝 점프하기,/entry.naver?docId=3535371&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
점프 후 버티기,/entry.naver?docId=3535372&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
양발 점프 착지하기,/entry.naver?docId=3535373&categoryId=58501&cid=58501,청소년,민첩성/순발력,스텝박스,하체,Y
다리 뻗어 점프하기,/entry.naver?docId=3535374&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
사이드 한발 뛰기,/entry.naver?docId=3535375&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,하체,N
앞차기하며 뛰기,/entry.naver?docId=3535376&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
양팔 벌려 높이 뛰기,/entry.naver?docId=3535377&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
앉았다 일어나며 점프하기,/entry.naver?docId=3535378&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,하체,N
앞굽이 뛰기,/entry.naver?docId=3535379&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,하체,N
제자리 멀리 뛰기,/entry.naver?docId=3535380&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
뛰어 밀기,/entry.naver?docId=3535381&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
팔 벌려 뛰기,/entry.naver?docId=3535382&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
빠르게 무릎들어 뛰기,/entry.naver?docId=3535383&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
점프하며 뛰기,/entry.naver?docId=3535384&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
무릎 높이 들어 뛰기,/entry.naver?docId=3535385&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,전신,N
뒤꿈치 높이들어 뛰기,/entry.naver?docId=3535386&categoryId=58501&cid=58501,청소년,민첩성/순발력,맨몸,하체,N
순간반응 콘 찍기1,/entry.naver?docId=3535388&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
순간반응 콘 찍기2,/entry.naver?docId=3535387&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
사이드 지그재그 뛰기,/entry.naver?docId=3535389&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
전후 교차 뛰기,/entry.naver?docId=3535390&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
한발 연속 뛰기,/entry.naver?docId=3535391&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
무릎 들어 연속 뛰기,/entry.naver?docId=3535392&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
앞뒤 지그재그 뛰기,/entry.naver?docId=3535393&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
W 스텝,/entry.naver?docId=3535394&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
사이드 스텝,/entry.naver?docId=3535395&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
양발 연속 뛰기,/entry.naver?docId=3535396&categoryId=58501&cid=58501,청소년,민첩성/순발력,하프콘,하체,Y
뒷발 교차 뛰기,/entry.naver?docId=3535397&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
크게 다리벌려 교차 뛰기,/entry.naver?docId=3535398&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
양발 교차 뛰기,/entry.naver?docId=3535399&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
한발 앞뒤 교차 뛰기,/entry.naver?docId=3535400&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
빠른 발 안팎 뛰기,/entry.naver?docId=3535401&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
양발 모았다 벌려뛰기,/entry.naver?docId=3535402&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
한발 연속 뛰기,/entry.naver?docId=3535403&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
양발 모아 좌우 뛰기,/entry.naver?docId=3535404&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
엇박자 뛰기,/entry.naver?docId=3535405&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
빠른 발 뛰기,/entry.naver?docId=3535406&categoryId=58501&cid=58501,청소년,민첩성/순발력,사다리,하체,Y
짝 스트레칭 루틴프로그램,/entry.naver?docId=3535408&categoryId=58501&cid=58501,청소년,유연성,맨몸,상체/하체,N
정적 스트레칭 루틴프로그램,/entry.naver?docId=3535409&categoryId=58501&cid=58501,청소년,유연성,맨몸,전신/가슴/상체/하체,N
요가 및 필라테스 루틴프로그램,/entry.naver?docId=3535410&categoryId=58501&cid=58501,청소년,유연성,맨몸,전신/가슴/상체/하체,N
동적 스트레칭 루틴프로그램,/entry.naver?docId=3535411&categoryId=58501&cid=58501,청소년,유연성,맨몸,전신/가슴/상체/하체,N
온 몸 뻗어주기,/entry.naver?docId=3535412&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/아래팔앞쪽/허벅지앞쪽/종아리뒤쪽,N
양발 벌려 무릎 밀어내기,/entry.naver?docId=3535413&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/등/허벅지내측,N
서서 발목 뒤로 당기기,/entry.naver?docId=3535414&categoryId=58501&cid=58501,청소년,유연성,의자,허벅지앞쪽,Y
서서 발목 누르기,/entry.naver?docId=3535415&categoryId=58501&cid=58501,청소년,유연성,의자,종아리뒤쪽,Y
양발 교차하여 서서 몸통 숙이기,/entry.naver?docId=3535416&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지뒤쪽,N
누워 발목 당겨주기,/entry.naver?docId=3535417&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지앞쪽,N
다리모아 무릎 누르기,/entry.naver?docId=3535418&categoryId=58501&cid=58501,청소년,유연성,맨몸,둔부/허벅지앞쪽,N
무릎당겨 다리 올리기,/entry.naver?docId=3535419&categoryId=58501&cid=58501,청소년,유연성,맨몸,둔부/허벅지뒤쪽/종아리,N
다리뻗어 상체 숙이기,/entry.naver?docId=3535420&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지앞쪽/종아리뒤쪽,N
무릎 당겨올리기,/entry.naver?docId=3535421&categoryId=58501&cid=58501,청소년,유연성,의자,둔부/허벅지앞쪽,Y
의자에 앉아 옆구리 숙이기,/entry.naver?docId=3535422&categoryId=58501&cid=58501,청소년,유연성,의자,몸통,Y
엎드려 상체 들어올리기,/entry.naver?docId=3535423&categoryId=58501&cid=58501,청소년,유연성,맨몸,복부/허리,N
척추 들어올리기,/entry.naver?docId=3535424&categoryId=58501&cid=58501,청소년,유연성,맨몸,허리,N
옆구리 스트레칭,/entry.naver?docId=3535425&categoryId=58501&cid=58501,청소년,유연성,맨몸,몸통,N
서서 한팔 들어 오른쪽 왼쪽 뻗기,/entry.naver?docId=3535426&categoryId=58501&cid=58501,청소년,유연성,맨몸,몸통,N
의자에 앉아 가슴 몸통 말아주기,/entry.naver?docId=3535427&categoryId=58501&cid=58501,청소년,유연성,의자,허리,Y
다리굽혀 허리 비틀기,/entry.naver?docId=3535428&categoryId=58501&cid=58501,청소년,유연성,맨몸,몸통,N
몸통 스트레칭,/entry.naver?docId=3535429&categoryId=58501&cid=58501,청소년,유연성,맨몸,몸통/둔부,N
의자에 앉아 몸통비틀기,/entry.naver?docId=3535430&categoryId=58501&cid=58501,청소년,유연성,의자,등/허리/허벅지앞쪽,Y
의자에 앉아 가슴 뒤로 젖히기,/entry.naver?docId=3535431&categoryId=58501&cid=58501,청소년,유연성,의자,가슴/허리,Y
팔꿈치 머리 뒤로 젖히기,/entry.naver?docId=3535432&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/위팔뒤쪽,N
깍지끼고 목 들어올리기,/entry.naver?docId=3535433&categoryId=58501&cid=58501,청소년,유연성,맨몸,목/어깨측면,N
목 당기기,/entry.naver?docId=3535434&categoryId=58501&cid=58501,청소년,유연성,맨몸,목,N
한발들어 좌우 돌리기,/entry.naver?docId=3535435&categoryId=58501&cid=58501,청소년,유연성,맨몸,복부/허벅지내측,N
다리벌려 풍차돌기,/entry.naver?docId=3535436&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/복부/허벅지내측,N
자세낮춰 이동하기,/entry.naver?docId=3535437&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/위팔뒤쪽/허벅지앞쪽,N
다리 들어올리기,/entry.naver?docId=3535438&categoryId=58501&cid=58501,청소년,유연성,맨몸,복부/허리/둔부/허벅지뒤쪽,N
전신 비틀며 전진하기,/entry.naver?docId=3535439&categoryId=58501&cid=58501,청소년,유연성,맨몸,등/허리/허벅지앞쪽,N
네발 걷기,/entry.naver?docId=3535440&categoryId=58501&cid=58501,청소년,유연성,맨몸,허리/허벅지뒤쪽,N
팔 돌리며 점프하기,/entry.naver?docId=3535441&categoryId=58501&cid=58501,청소년,유연성,맨몸,전신,N
옆으로 팔 벌리며 점프하기,/entry.naver?docId=3535442&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/등,N
허리숙여 양팔 돌리기,/entry.naver?docId=3535443&categoryId=58501&cid=58501,청소년,유연성,맨몸,등/허벅지뒤쪽,N
전진 점프하며 발 뒤꿈치 찍기,/entry.naver?docId=3535444&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지앞쪽/종아리뒤쪽,N
전진 점프하며 발바닥 찍기,/entry.naver?docId=3535445&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지앞쪽/종아리뒤쪽,N
빠르게 무릎 올려 찍기,/entry.naver?docId=3535446&categoryId=58501&cid=58501,청소년,유연성,맨몸,둔부/허벅지내측/허벅지외측,N
무릎굽혀 원 그리기,/entry.naver?docId=3535447&categoryId=58501&cid=58501,청소년,유연성,맨몸,둔부/허벅지내측,N
다리들어 옆으로 올리기,/entry.naver?docId=3535448&categoryId=58501&cid=58501,청소년,유연성,의자,허벅지내측/허벅지외측,Y
무릎 들어올리기,/entry.naver?docId=3535449&categoryId=58501&cid=58501,청소년,유연성,의자,둔부/허벅지앞쪽,Y
팔꿈치 원 그리기,/entry.naver?docId=3535450&categoryId=58501&cid=58501,청소년,유연성,의자,어깨측면,Y
목 돌리기,/entry.naver?docId=3535451&categoryId=58501&cid=58501,청소년,유연성,맨몸,목,N
발등 동시에 늘리기,/entry.naver?docId=3535452&categoryId=58501&cid=58501,청소년,유연성,맨몸,종아리앞쪽,N
마주보고 종아리 펴기,/entry.naver?docId=3535453&categoryId=58501&cid=58501,청소년,유연성,맨몸,종아리뒤쪽,N
엉덩이 늘리기,/entry.naver?docId=3535454&categoryId=58501&cid=58501,청소년,유연성,맨몸,둔부,N
앉아서 상체 앞 옆으로 기울기,/entry.naver?docId=3535455&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지뒤쪽,N
한쪽 다리펴고 상체 숙이기,/entry.naver?docId=3535456&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지뒤쪽,N
상체 앞으로 숙이기,/entry.naver?docId=3535457&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지뒤쪽,N
웅크리고 앉아 손잡고 상체 숙이기,/entry.naver?docId=3535458&categoryId=58501&cid=58501,청소년,유연성,맨몸,등,N
마주보고 상체 좌우 비틀기,/entry.naver?docId=3535459&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/가슴,N
가슴 어깨 펴기,/entry.naver?docId=3535460&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/가슴,N
나란히 서서 손잡고 끌어당기기,/entry.naver?docId=3535461&categoryId=58501&cid=58501,청소년,유연성,맨몸,복부/옆구리,N
어깨 누르기,/entry.naver?docId=3535462&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/위팔앞쪽,N
팔 당기기,/entry.naver?docId=3535463&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/위팔앞쪽,N
겨드랑이 늘리기,/entry.naver?docId=3535464&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/위팔뒤쪽,N
목 스트레칭,/entry.naver?docId=3535465&categoryId=58501&cid=58501,청소년,유연성,맨몸,목,N
몸통 비틀기,/entry.naver?docId=3535466&categoryId=58501&cid=58501,청소년,유연성,맨몸,몸통,N
나무자세,/entry.naver?docId=3535467&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/허리/허벅지앞쪽,N
시소우,/entry.naver?docId=3535468&categoryId=58501&cid=58501,청소년,유연성,맨몸,복부/허리/허벅지앞쪽,N
레그 스윙,/entry.naver?docId=3535469&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/복부/허벅지앞쪽,N
측면 팔대고 버티기,/entry.naver?docId=3535470&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/옆구리,N
