name,site_link,운동대상,체력항목,운동형태,운동부위,시설 필요유무
스타 투 니 풀,/entry.naver?docId=3535471&categoryId=58501&cid=58501,청소년,유연성,맨몸,복부/허벅지앞쪽,N
합장하여 앞으로 숙이기,/entry.naver?docId=3535472&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/허리/둔부,N
전갈자세,/entry.naver?docId=3535473&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/복부/둔부,N
회전 초승달 자세,/entry.naver?docId=3535474&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/허벅지앞쪽,N
전사자세,/entry.naver?docId=3535475&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/허리/허벅지앞쪽,N
소머리 자세,/entry.naver?docId=3535476&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/둔부/허벅지앞쪽,N
다리자세,/entry.naver?docId=3535477&categoryId=58501&cid=58501,청소년,유연성,맨몸,목/복부/둔부,N
모관운동,/entry.naver?docId=3535478&categoryId=58501&cid=58501,청소년,유연성,맨몸,아래팔앞쪽/복부/종아리앞쪽,N
앉은 산 자세,/entry.naver?docId=3535479&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/아래팔앞쪽/허리,N
결가부좌,/entry.naver?docId=3535480&categoryId=58501&cid=58501,청소년,유연성,맨몸,허리/허벅지앞쪽/종아리앞쪽,N
휴식자세,/entry.naver?docId=3535481&categoryId=58501&cid=58501,청소년,유연성,맨몸,전신,N
아기자세,/entry.naver?docId=3535482&categoryId=58501&cid=58501,청소년,유연성,맨몸,어깨측면/허리,N
왜가리 자세,/entry.naver?docId=3535483&categoryId=58501&cid=58501,청소년,유연성,맨몸,둔부/허벅지뒤쪽/종아리뒤쪽,N
나비자세,/entry.naver?docId=3535484&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지앞쪽/허벅지내측,N
발 끝 당기기,/entry.naver?docId=3535485&categoryId=58501&cid=58501,청소년,유연성,맨몸,종아리,N
발목 돌리기,/entry.naver?docId=3535486&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지뒤쪽/종아리앞쪽,N
엎드려 한발 원 그리기,/entry.naver?docId=3535487&categoryId=58501&cid=58501,청소년,유연성,맨몸,둔부/허벅지내측,N
누워 한발 원 그리기,/entry.naver?docId=3535488&categoryId=58501&cid=58501,청소년,유연성,맨몸,허벅지내측,N
물고기 자세,/entry.naver?docId=3535489&categoryId=58501&cid=58501,청소년,유연성,맨몸,몸통/등,N
반달자세,/entry.naver?docId=3535490&categoryId=58501&cid=58501,청소년,유연성,맨몸,몸통,N
복식호흡,/entry.naver?docId=3535491&categoryId=58501&cid=58501,청소년,유연성,맨몸,복부,N
고양이 자세,/entry.naver?docId=3535492&categoryId=58501&cid=58501,청소년,유연성,맨몸,목/허리,N
짐볼 운동 루틴프로그램,/entry.naver?docId=3535494&categoryId=58501&cid=58501,청소년,협응력,짐볼,전신/하체/몸통,Y
메디신볼 운동 루틴프로그램,/entry.naver?docId=3535495&categoryId=58501&cid=58501,청소년,협응력,공,전신/가슴/상체/몸통,Y
백 슬라이드,/entry.naver?docId=3535496&categoryId=58501&cid=58501,청소년,협응력,짐볼,복부/허리,Y
양손 모아 균형 잡기,/entry.naver?docId=3535497&categoryId=58501&cid=58501,청소년,협응력,짐볼,등,Y
다리 교대로 들어올리기,/entry.naver?docId=3535498&categoryId=58501&cid=58501,청소년,협응력,짐볼,복부/몸통,Y
짐볼 윗몸일으키기,/entry.naver?docId=3535499&categoryId=58501&cid=58501,청소년,협응력,짐볼,복부/몸통,Y
짐볼 배에 대고 버티기,/entry.naver?docId=3535500&categoryId=58501&cid=58501,청소년,협응력,짐볼,복부/등/허리,Y
짐볼 전완대고 버티기,/entry.naver?docId=3535501&categoryId=58501&cid=58501,청소년,협응력,짐볼,복부/허리,Y
누워 무릎 교차 올리기,/entry.naver?docId=3535502&categoryId=58501&cid=58501,청소년,협응력,짐볼,허리/둔부,Y
양발 교차 올리기,/entry.naver?docId=3535503&categoryId=58501&cid=58501,청소년,협응력,짐볼,허리/둔부,Y
허리 비틀어 볼 주고받기,/entry.naver?docId=3535504&categoryId=58501&cid=58501,청소년,협응력,공,복부/몸통,Y
볼 잡고 점프하기,/entry.naver?docId=3535505&categoryId=58501&cid=58501,청소년,협응력,공,복부/둔부/허벅지앞쪽,Y
메디신 볼 잡고 런지하며 상체비틀기,/entry.naver?docId=3535506&categoryId=58501&cid=58501,청소년,협응력,공,복부/허벅지앞쪽,Y
종아리 사이 감아 돌리기,/entry.naver?docId=3535507&categoryId=58501&cid=58501,청소년,협응력,공,위팔앞쪽/아래팔앞쪽/복부,Y
볼 튕기면서 스쿼트,/entry.naver?docId=3535508&categoryId=58501&cid=58501,청소년,협응력,공,어깨측면/복부/허벅지앞쪽,Y
메디신 볼 잡고 팔굽혀펴기,/entry.naver?docId=3535509&categoryId=58501&cid=58501,청소년,협응력,공,어깨측면/전신/가슴,Y
허리 감아 볼 돌리기,/entry.naver?docId=3535510&categoryId=58501&cid=58501,청소년,협응력,공,어깨측면/위팔앞쪽,Y
볼 잡고 몸통 기울이기,/entry.naver?docId=3535511&categoryId=58501&cid=58501,청소년,협응력,공,어깨측면/옆구리,Y
머리 위로 볼 돌리기,/entry.naver?docId=3535512&categoryId=58501&cid=58501,청소년,협응력,공,어깨측면/복부,Y
목 굽힘/폄 I,/entry.naver?docId=3535517&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,목,N
목 굽힘/폄 II,/entry.naver?docId=3535516&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,목,N
목 굽힘/폄 III,/entry.naver?docId=3535515&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,목,N
팔꿈치 굽히기,/entry.naver?docId=3535518&categoryId=58501&cid=58501,성인,근력/근지구력,물병,위팔앞쪽,Y
물병 옆으로 들어올리기,/entry.naver?docId=3535519&categoryId=58501&cid=58501,성인,근력/근지구력,물병,어깨측면,Y
허리 굽혀 팔 뒤로 들기,/entry.naver?docId=3535520&categoryId=58501&cid=58501,성인,근력/근지구력,물병,위팔뒤쪽,Y
뒤로 팔굽혀펴기,/entry.naver?docId=3535521&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,위팔뒤쪽,N
팔굽혀펴기,/entry.naver?docId=3535522&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,몸통,N
네발기기 자세에서 다리 위로 뻗어올리기,/entry.naver?docId=3535523&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,둔부,N
짐볼에 다리 올리고 좌우로 움직이기,/entry.naver?docId=3535524&categoryId=58501&cid=58501,성인,근력/근지구력,짐볼,몸통,Y
서서 탄력밴드 당겨내리기/올리기,/entry.naver?docId=3535525&categoryId=58501&cid=58501,성인,근력/근지구력,탄력밴드,어깨,Y
탄력밴드 어깨 가쪽 돌림,/entry.naver?docId=3535526&categoryId=58501&cid=58501,성인,근력/근지구력,탄력밴드,어깨,Y
짐볼에 엎드려서 몸통 젖히기,/entry.naver?docId=3535527&categoryId=58501&cid=58501,성인,근력/근지구력,짐볼,허리,Y
짐볼에 엎드려서 팔 다리 들기,/entry.naver?docId=3535528&categoryId=58501&cid=58501,성인,근력/근지구력,짐볼,허리,Y
네발기기 자세에서 손바닥으로 바닥밀기,/entry.naver?docId=3535529&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,어깨,N
엎드려서 팔 다리 들기,/entry.naver?docId=3535530&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,허리,N
네발기기 자세로 팔 다리 들기,/entry.naver?docId=3535531&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,둔부,N
짐볼에 다리 올리고 엉덩이 들어올리기,/entry.naver?docId=3535532&categoryId=58501&cid=58501,성인,근력/근지구력,짐볼,허리,Y
누워서 엉덩이 들어올리기,/entry.naver?docId=3535533&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,허리,N
누워서 하늘 자전거,/entry.naver?docId=3535534&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,복부,N
누워서 수직으로 다리 들어올리기,/entry.naver?docId=3535535&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,복부,N
누워서 공들고 몸 기울이기,/entry.naver?docId=3535536&categoryId=58501&cid=58501,성인,근력/근지구력,공,몸통,Y
누워서 다리 좌우로 움직이기,/entry.naver?docId=3535537&categoryId=58501&cid=58501,성인,근력/근지구력,공,몸통,Y
누워서 팔 다리 동시에 들어올리기,/entry.naver?docId=3535538&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,복부,N
누워서 다리 들어올리기,/entry.naver?docId=3535539&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,아랫복근,N
옆으로 누워 버티기,/entry.naver?docId=3535540&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,몸통,N
엎드려 버티기,/entry.naver?docId=3535541&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,복부,N
소파를 이용한 윗몸올리기,/entry.naver?docId=3535542&categoryId=58501&cid=58501,성인,근력/근지구력,소파,윗복근,Y
짐볼 윗몸올리기,/entry.naver?docId=3535543&categoryId=58501&cid=58501,성인,근력/근지구력,짐볼,윗복근,Y
윗몸올리기,/entry.naver?docId=3535544&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,윗복근,N
누워서 배가로근 수축 I,/entry.naver?docId=3535546&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,복부,N
누워서 배가로근 수축 II,/entry.naver?docId=3535545&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,복부/허리,N
발등굽힘/발바닥굽힘,/entry.naver?docId=3535547&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸/탄력밴드,종아리앞쪽/종아리뒤쪽,Y
한발 서서 균형잡기,/entry.naver?docId=3535548&categoryId=58501&cid=58501,성인,근력/근지구력,의자,하체,Y
서서 뒤꿈치 들기,/entry.naver?docId=3535549&categoryId=58501&cid=58501,성인,근력/근지구력,의자/탄력밴드/짐볼,종아리,Y
서서 다리로 탄력밴드 당기기 I,/entry.naver?docId=3535551&categoryId=58501&cid=58501,성인,근력/근지구력,탄력밴드,허벅지앞쪽/허벅지뒤쪽,Y
서서 다리로 탄력밴드 당기기 II,/entry.naver?docId=3535550&categoryId=58501&cid=58501,성인,근력/근지구력,탄력밴드,허벅지내측/허벅지외측,Y
서서 다리 뒤로 차기,/entry.naver?docId=3535552&categoryId=58501&cid=58501,성인,근력/근지구력,의자,둔부,Y
앉아서 엉덩관절 굽히기,/entry.naver?docId=3535553&categoryId=58501&cid=58501,성인,근력/근지구력,의자,허벅지,Y
의자에 앉아 다리 뻗어 올리기,/entry.naver?docId=3535554&categoryId=58501&cid=58501,성인,근력/근지구력,의자,허벅지앞쪽,Y
의자에 한 다리 올리고 앉았다 일어서기,/entry.naver?docId=3535555&categoryId=58501&cid=58501,성인,근력/근지구력,의자,둔부/몸통,Y
한발 앞으로 내밀고 앉았다 일어서기,/entry.naver?docId=3535556&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,둔부/몸통,N
의자 앞에서 앉았다 일어서기,/entry.naver?docId=3535557&categoryId=58501&cid=58501,성인,근력/근지구력,의자,허벅지,Y
앉았다 일어서기,/entry.naver?docId=3535558&categoryId=58501&cid=58501,성인,근력/근지구력,맨몸,허벅지,N
서서 상체 일으키기,/entry.naver?docId=3535559&categoryId=58501&cid=58501,성인,근력/근지구력,물병,허리,Y
짝 운동,/entry.naver?docId=3535560&categoryId=58501&cid=58501,성인,근력/근지구력,보슈볼,전신,Y
서서 균형잡으며 몸통 회전하기,/entry.naver?docId=3535561&categoryId=58501&cid=58501,성인,근력/근지구력,보슈볼,전신,Y
엎드려서 다리 차올리기,/entry.naver?docId=3535562&categoryId=58501&cid=58501,성인,근력/근지구력,보슈볼,둔부,Y
윗몸 말아 올리기,/entry.naver?docId=3535563&categoryId=58501&cid=58501,성인,근력/근지구력,보슈볼,복부,Y
엎드려서 균형잡기,/entry.naver?docId=3535564&categoryId=58501&cid=58501,성인,근력/근지구력,보슈볼,허리,Y
서서 균형잡기,/entry.naver?docId=3535565&categoryId=58501&cid=58501,성인,근력/근지구력,보슈볼,하체,Y
앉아서 팔꿈치 굽히기/펴기,/entry.naver?docId=3535566&categoryId=58501&cid=58501,성인,근력/근지구력,보슈볼,위팔/아래팔앞쪽/아래팔뒤쪽,Y
손목 펴기/굽히기,/entry.naver?docId=3535567&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,위팔/아래팔앞쪽/아래팔뒤쪽,Y
덤벨 옆으로 들어올리기,/entry.naver?docId=3535568&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,어깨측면,Y
허리 굽혀 덤벨 뒤로 들기,/entry.naver?docId=3535569&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,위팔뒤쪽,Y
누워서 머리 위로 팔꿈치 펴기,/entry.naver?docId=3535570&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,위팔뒤쪽,Y
고정한 상태에서 덤벨 들고 팔꿈치 굽히기,/entry.naver?docId=3535571&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,위팔앞쪽,Y
바벨 들어 팔꿈치 굽히기,/entry.naver?docId=3535572&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,위팔앞쪽,Y
서서 바벨 위로 밀기,/entry.naver?docId=3535573&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,어깨,Y
누워서 덤벨 모아들기,/entry.naver?docId=3535574&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,몸통,Y
누워서 덤벨 들어올리기,/entry.naver?docId=3535575&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,몸통,Y
매달려서 뒤로 팔굽혀 펴기,/entry.naver?docId=3535576&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,몸통,Y
몸통 옆으로 굽히기,/entry.naver?docId=3535577&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,몸통,Y
매달려서 다리 들기,/entry.naver?docId=3535578&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,복부,Y
허리 굽혀 덤벨 들기,/entry.naver?docId=3535579&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,어깨뒤쪽,Y
바벨 끌어당기기,/entry.naver?docId=3535580&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,상체,Y
턱걸이,/entry.naver?docId=3535581&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,상체,Y
서서 어깨 들어올리기,/entry.naver?docId=3535582&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,어깨/등,Y
한발 앞으로 내밀고 앉았다 일어서기,/entry.naver?docId=3535583&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,둔부/몸통,Y
앉았다 일어서기,/entry.naver?docId=3535584&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,허벅지,Y
파워클린,/entry.naver?docId=3535585&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,전신/하체/허리,Y
원판던지기,/entry.naver?docId=3535586&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,전신/하체/허리,Y
바벨들어올리기,/entry.naver?docId=3535587&categoryId=58501&cid=58501,성인,근력/근지구력,프리웨이트,허리,Y
앉아서 위로 밀기,/entry.naver?docId=3535588&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,어깨,Y
앉아서 모으기,/entry.naver?docId=3535589&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,몸통,Y
거꾸로 누워서 밀기,/entry.naver?docId=3535590&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,몸통,Y
비스듬히 누워서 밀기,/entry.naver?docId=3535591&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,몸통,Y
누워서 밀기,/entry.naver?docId=3535592&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,몸통,Y
앉아서 밀기,/entry.naver?docId=3535593&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,몸통,Y
앉아서 몸통 움츠리기,/entry.naver?docId=3535594&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,윗복근,Y
몸통 들어올리기,/entry.naver?docId=3535595&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,허리,Y
앉아서 뒤로 당기기,/entry.naver?docId=3535596&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,등,Y
앉아서 당겨 내리기,/entry.naver?docId=3535597&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,등,Y
앉아서 다리 벌리기,/entry.naver?docId=3535598&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,허벅지외측,Y
앉아서 다리 모으기,/entry.naver?docId=3535599&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,종아리뒤쪽,Y
뒤꿈치 들기,/entry.naver?docId=3535600&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,종아리뒤쪽,Y
앉아서 다리 굽히기,/entry.naver?docId=3535601&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,허벅지뒤쪽,Y
앉아서 다리 펴기,/entry.naver?docId=3535602&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,허벅지앞쪽,Y
앉아서 다리 밀기,/entry.naver?docId=3535603&categoryId=58501&cid=58501,성인,근력/근지구력,웨이트기계,허벅지,Y
몸 기울이기/회전하기,/entry.naver?docId=3535605&categoryId=58501&cid=58501,성인,심폐지구력,수중운동,전신,Y
발 닿기,/entry.naver?docId=3535606&categoryId=58501&cid=58501,성인,심폐지구력,수중운동,전신,Y
물누르기/올리기,/entry.naver?docId=3535607&categoryId=58501&cid=58501,성인,심폐지구력,수중운동,어깨앞쪽,Y
옆구리늘리기,/entry.naver?docId=3535608&categoryId=58501&cid=58501,성인,심폐지구력,수중운동,몸통,Y
물당기기/밀기,/entry.naver?docId=3535609&categoryId=58501&cid=58501,성인,심폐지구력,수중운동,등/몸통,Y
엉덩관절 회전하기,/entry.naver?docId=3535610&categoryId=58501&cid=58501,성인,심폐지구력,수중운동,몸통,Y
수영,/entry.naver?docId=3535611&categoryId=58501&cid=58501,성인,심폐지구력,수중운동,전신,Y
계단 뛰어 오르기,/entry.naver?docId=3535612&categoryId=58501&cid=58501,성인,심폐지구력,맨몸,허벅지,N
계단 올라갔다 내려오기,/entry.naver?docId=3535613&categoryId=58501&cid=58501,성인,심폐지구력,맨몸,허벅지,N
줄넘기,/entry.naver?docId=3535614&categoryId=58501&cid=58501,성인,심폐지구력,줄넘기,하체,Y
트레드밀에서 걷기,/entry.naver?docId=3535615&categoryId=58501&cid=58501,성인,심폐지구력,웨이트기계,하체,Y
실내 자전거타기,/entry.naver?docId=3535616&categoryId=58501&cid=58501,성인,심폐지구력,웨이트기계,허벅지,Y
실외 자전거타기,/entry.naver?docId=3535617&categoryId=58501&cid=58501,성인,심폐지구력,자전거,허벅지,Y
달리기,/entry.naver?docId=3535618&categoryId=58501&cid=58501,성인,심폐지구력,맨몸,전신,N
계단 한발 뛰기,/entry.naver?docId=3535620&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,하체,N
계단 두 칸씩 뛰기,/entry.naver?docId=3535621&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,하체,N
계단 두발 뛰기,/entry.naver?docId=3535622&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,하체,N
점프 팔굽혀펴기,/entry.naver?docId=3535623&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,몸통,N
버피운동,/entry.naver?docId=3535624&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,전신,N
팔벌려뛰기,/entry.naver?docId=3535625&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,전신,N
사다리 옆으로 발 옮기기,/entry.naver?docId=3535626&categoryId=58501&cid=58501,성인,민첩성/순발력,사다리,하체,Y
사다리 좌우 뛰기,/entry.naver?docId=3535627&categoryId=58501&cid=58501,성인,민첩성/순발력,사다리,하체,Y
사다리 안팎 뛰기,/entry.naver?docId=3535628&categoryId=58501&cid=58501,성인,민첩성/순발력,사다리,하체,Y
뛰어 내렸다가 바로 점프하기,/entry.naver?docId=3535629&categoryId=58501&cid=58501,성인,민첩성/순발력,의자,하체,Y
스텝퍼 올라가서 점프하여 착지하기,/entry.naver?docId=3535630&categoryId=58501&cid=58501,성인,민첩성/순발력,스텝퍼,하체,Y
스텝퍼 옆으로 뛰어넘기,/entry.naver?docId=3535631&categoryId=58501&cid=58501,성인,민첩성/순발력,스텝퍼,하체,Y
스텝퍼 뛰어서 넘어가기,/entry.naver?docId=3535632&categoryId=58501&cid=58501,성인,민첩성/순발력,스텝퍼,하체,Y
스텝퍼 뛰어서 오르내리기,/entry.naver?docId=3535633&categoryId=58501&cid=58501,성인,민첩성/순발력,스텝퍼,하체,Y
스텝퍼 오르내리기,/entry.naver?docId=3535634&categoryId=58501&cid=58501,성인,민첩성/순발력,스텝퍼,하체,Y
옆으로 펀치하기,/entry.naver?docId=3535635&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,전신,N
무릎 높여 제자리 달리기,/entry.naver?docId=3535636&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,허벅지,N
앉았다 일어서면서 점프하기,/entry.naver?docId=3535637&categoryId=58501&cid=58501,성인,민첩성/순발력,맨몸,허벅지,N
자가근막이완술 루틴 스트레칭,/entry.naver?docId=3535639&categoryId=58501&cid=58501,성인,유연성,폼롤,전신,Y
작은 공을 이용한 동적 루틴 스트레칭,/entry.naver?docId=3535640&categoryId=58501&cid=58501,성인,유연성,공,전신,Y
짐볼을 이용한 동적 루틴 스트레칭,/entry.naver?docId=3535641&categoryId=58501&cid=58501,성인,유연성,짐볼,전신,Y
